"content","ecoregion","replicate","year","type","NofCell","totalCell","areaHa","areaPercentage"
"seralStage",139,1,1400,1,7,2784,43.75,0.00251436781609195
"seralStage",139,1,1400,2,96,2784,600,0.0344827586206897
"seralStage",139,1,1400,3,146,2784,912.5,0.0524425287356322
"seralStage",139,1,1400,4,2535,2784,15843.75,0.910560344827586
"seralStage",139,1,1420,1,6,2784,37.5,0.0021551724137931
"seralStage",139,1,1420,2,84,2784,525,0.0301724137931034
"seralStage",139,1,1420,3,155,2784,968.75,0.0556752873563218
"seralStage",139,1,1420,4,2539,2784,15868.75,0.911997126436782
"seralStage",139,1,1440,1,8,2784,50,0.0028735632183908
"seralStage",139,1,1440,2,76,2784,475,0.0272988505747126
"seralStage",139,1,1440,3,148,2784,925,0.0531609195402299
"seralStage",139,1,1440,4,2551,2784,15943.75,0.916307471264368
"seralStage",139,1,1460,1,7,2784,43.75,0.00251436781609195
"seralStage",139,1,1460,2,76,2784,475,0.0272988505747126
"seralStage",139,1,1460,3,128,2784,800,0.0459770114942529
"seralStage",139,1,1460,4,2572,2784,16075,0.923850574712644
"seralStage",139,1,1480,1,9,2784,56.25,0.00323275862068966
"seralStage",139,1,1480,2,77,2784,481.25,0.0276580459770115
"seralStage",139,1,1480,3,155,2784,968.75,0.0556752873563218
"seralStage",139,1,1480,4,2543,2784,15893.75,0.913433908045977
"seralStage",139,1,1500,1,7,2784,43.75,0.00251436781609195
"seralStage",139,1,1500,2,89,2784,556.25,0.0319683908045977
"seralStage",139,1,1500,3,148,2784,925,0.0531609195402299
"seralStage",139,1,1500,4,2539,2784,15868.75,0.911997126436782
"seralStage",139,1,1520,1,9,2784,56.25,0.00323275862068966
"seralStage",139,1,1520,2,83,2784,518.75,0.0298132183908046
"seralStage",139,1,1520,3,152,2784,950,0.0545977011494253
"seralStage",139,1,1520,4,2540,2784,15875,0.91235632183908
"seralStage",139,1,1540,1,8,2784,50,0.0028735632183908
"seralStage",139,1,1540,2,73,2784,456.25,0.0262212643678161
"seralStage",139,1,1540,3,156,2784,975,0.0560344827586207
"seralStage",139,1,1540,4,2547,2784,15918.75,0.914870689655172
"seralStage",139,1,1560,1,6,2784,37.5,0.0021551724137931
"seralStage",139,1,1560,2,73,2784,456.25,0.0262212643678161
"seralStage",139,1,1560,3,140,2784,875,0.0502873563218391
"seralStage",139,1,1560,4,2564,2784,16025,0.920977011494253
"seralStage",139,1,1580,1,5,2784,31.25,0.00179597701149425
"seralStage",139,1,1580,2,79,2784,493.75,0.0283764367816092
"seralStage",139,1,1580,3,125,2784,781.25,0.0448994252873563
"seralStage",139,1,1580,4,2574,2784,16087.5,0.924568965517241
