"mapCode","species"
1,"Abie_Bal"
2,"Abie_Las"
3,"Abie_Las"
3,"Abie_Bal"
4,"Betu_Pap"
5,"Betu_Pap"
5,"Abie_Las"
6,"Pice_Gla"
7,"Pice_Gla"
7,"Abie_Las"
8,"Pice_Gla"
8,"Abie_Las"
8,"Abie_Bal"
9,"Pice_Gla"
9,"Betu_Pap"
10,"Pice_Gla"
10,"Betu_Pap"
10,"Abie_Bal"
11,"Pice_Gla"
11,"Betu_Pap"
11,"Abie_Las"
12,"Pice_Mar"
13,"Pice_Mar"
13,"Abie_Bal"
14,"Pice_Mar"
14,"Abie_Las"
15,"Pice_Mar"
15,"Betu_Pap"
16,"Pice_Mar"
16,"Betu_Pap"
16,"Abie_Bal"
17,"Pice_Mar"
17,"Betu_Pap"
17,"Abie_Las"
17,"Abie_Bal"
18,"Pice_Mar"
18,"Pice_Gla"
19,"Pice_Mar"
19,"Pice_Gla"
19,"Abie_Bal"
20,"Pice_Mar"
20,"Pice_Gla"
20,"Abie_Las"
21,"Pice_Mar"
21,"Pice_Gla"
21,"Abie_Las"
21,"Abie_Bal"
22,"Pice_Mar"
22,"Pice_Gla"
22,"Betu_Pap"
23,"Pice_Mar"
23,"Pice_Gla"
23,"Betu_Pap"
23,"Abie_Bal"
24,"Pice_Mar"
24,"Pice_Gla"
24,"Betu_Pap"
24,"Abie_Las"
25,"Pice_Mar"
25,"Pice_Gla"
25,"Betu_Pap"
25,"Abie_Las"
25,"Abie_Bal"
26,"Pice_Mar"
26,"Pice_Gla"
26,"Betu_Pap"
26,"Abie_Bal"
27,"Pinu_Ban"
27,"Abie_Bal"
28,"Pinu_Ban"
28,"Betu_Pap"
29,"Pinu_Ban"
29,"Betu_Pap"
29,"Abie_Bal"
30,"Pinu_Ban"
30,"Pice_Gla"
31,"Pinu_Ban"
31,"Pice_Gla"
31,"Abie_Bal"
32,"Pinu_Ban"
32,"Pice_Gla"
32,"Abie_Las"
33,"Pinu_Ban"
33,"Pice_Gla"
33,"Betu_Pap"
34,"Pinu_Ban"
34,"Pice_Gla"
34,"Betu_Pap"
34,"Abie_Las"
35,"Pinu_Ban"
35,"Pice_Mar"
36,"Pinu_Ban"
36,"Pice_Mar"
36,"Abie_Bal"
37,"Pinu_Ban"
37,"Pice_Mar"
37,"Abie_Las"
38,"Pinu_Ban"
38,"Pice_Mar"
38,"Betu_Pap"
39,"Pinu_Ban"
39,"Pice_Mar"
39,"Betu_Pap"
39,"Abie_Bal"
40,"Pinu_Ban"
40,"Pice_Mar"
40,"Betu_Pap"
40,"Abie_Las"
41,"Pinu_Ban"
41,"Pice_Mar"
41,"Pice_Gla"
42,"Pinu_Ban"
42,"Pice_Mar"
42,"Pice_Gla"
42,"Abie_Bal"
43,"Pinu_Ban"
43,"Pice_Mar"
43,"Pice_Gla"
43,"Abie_Las"
44,"Pinu_Ban"
44,"Pice_Mar"
44,"Pice_Gla"
44,"Betu_Pap"
45,"Pinu_Ban"
45,"Pice_Mar"
45,"Pice_Gla"
45,"Betu_Pap"
45,"Abie_Bal"
46,"Pinu_Ban"
46,"Pice_Mar"
46,"Pice_Gla"
46,"Betu_Pap"
46,"Abie_Las"
47,"Pinu_Ban"
47,"Pice_Mar"
47,"Pice_Gla"
47,"Betu_Pap"
47,"Abie_Las"
47,"Abie_Bal"
48,"Pice_Mar"
48,"Pice_Gla"
48,"Betu_Pap"
48,"Abie_Bal"
49,"Pinu_Con"
49,"Abie_Bal"
50,"Pinu_Con"
50,"Abie_Las"
51,"Pinu_Con"
51,"Abie_Las"
51,"Abie_Bal"
52,"Pinu_Con"
52,"Betu_Pap"
53,"Pinu_Con"
53,"Betu_Pap"
53,"Abie_Las"
54,"Pinu_Con"
54,"Pice_Gla"
55,"Pinu_Con"
55,"Pice_Gla"
55,"Abie_Las"
56,"Pinu_Con"
56,"Pice_Gla"
56,"Abie_Las"
56,"Abie_Bal"
57,"Pinu_Con"
57,"Pice_Gla"
57,"Betu_Pap"
58,"Pinu_Con"
58,"Pice_Gla"
58,"Betu_Pap"
58,"Abie_Las"
59,"Pinu_Con"
59,"Pice_Mar"
60,"Pinu_Con"
60,"Pice_Mar"
60,"Abie_Bal"
61,"Pinu_Con"
61,"Pice_Mar"
61,"Abie_Las"
62,"Pinu_Con"
62,"Pice_Mar"
62,"Abie_Las"
62,"Abie_Bal"
63,"Pinu_Con"
63,"Pice_Mar"
63,"Betu_Pap"
64,"Pinu_Con"
64,"Pice_Mar"
64,"Betu_Pap"
64,"Abie_Las"
65,"Pinu_Con"
65,"Pice_Mar"
65,"Pice_Gla"
66,"Pinu_Con"
66,"Pice_Mar"
66,"Pice_Gla"
66,"Abie_Bal"
67,"Pinu_Con"
67,"Pice_Mar"
67,"Pice_Gla"
67,"Abie_Las"
68,"Pinu_Con"
68,"Pice_Mar"
68,"Pice_Gla"
68,"Abie_Las"
68,"Abie_Bal"
69,"Pinu_Con"
69,"Pice_Mar"
69,"Pice_Gla"
69,"Betu_Pap"
70,"Pinu_Con"
70,"Pice_Mar"
70,"Pice_Gla"
70,"Betu_Pap"
70,"Abie_Bal"
71,"Pinu_Con"
71,"Pice_Mar"
71,"Pice_Gla"
71,"Betu_Pap"
71,"Abie_Las"
72,"Pinu_Con"
72,"Pice_Mar"
72,"Pice_Gla"
72,"Betu_Pap"
72,"Abie_Las"
72,"Abie_Bal"
73,"Pinu_Con"
73,"Pinu_Ban"
74,"Pinu_Con"
74,"Pinu_Ban"
74,"Pice_Gla"
75,"Pinu_Con"
75,"Pinu_Ban"
75,"Pice_Gla"
75,"Abie_Bal"
76,"Pinu_Con"
76,"Pinu_Ban"
76,"Pice_Gla"
76,"Abie_Las"
77,"Pinu_Con"
77,"Pinu_Ban"
77,"Pice_Gla"
77,"Abie_Las"
77,"Abie_Bal"
78,"Pinu_Con"
78,"Pinu_Ban"
78,"Pice_Mar"
79,"Pinu_Con"
79,"Pinu_Ban"
79,"Pice_Mar"
79,"Abie_Bal"
80,"Pinu_Con"
80,"Pinu_Ban"
80,"Pice_Mar"
80,"Abie_Las"
81,"Pinu_Con"
81,"Pinu_Ban"
81,"Pice_Mar"
81,"Betu_Pap"
82,"Pinu_Con"
82,"Pinu_Ban"
82,"Pice_Mar"
82,"Betu_Pap"
82,"Abie_Las"
83,"Pinu_Con"
83,"Pinu_Ban"
83,"Pice_Mar"
